Industry_code_NZSIOC,Value
CC15,1073
CC15,194
CC15,536
CC15,6
CC15,195
CC15,2840
CC15,50
CC15,1268
CC15,1404
CC15,507
CC15,7365
CC15,2649
CC15,3032
CC15,395
CC15,82
CC15,1683
CC15,7365
CC15,3559
CC15,1773
CC15,2032
CC15,583100
CC15,55200
CC15,149
CC15,70
CC15,28
CC15,14
CC15,7
CC15,48
CC211,1853
CC211,146
CC211,1678
CC211,20
CC211,1
CC211,9
CC211,1811
CC211,24
CC211,4
CC211,31
CC211,280
CC211,C
CC211,106
CC211,1350
CC211,17
CC211,283
CC211,317
CC211,76
CC211,1125
CC211,C
CC211,309
CC211,31
CC211,19
CC211,C
CC211,1125
CC211,335
CC211,470
CC211,320
CC211,318200
CC211,13100
CC211,C
CC211,C
CC211,27
CC211,23
CC211,7
CC211,30
CC212,483
CC212,67
CC212,413
CC212,1
CC212,0
CC212,2
CC212,480
CC212,7
CC212,2
CC212,9
CC212,157
CC212,0
CC212,45
CC212,257
CC212,4
CC212,122
CC212,121
CC212,2
CC212,300
CC212,221
CC212,57
CC212,10
CC212,4
CC212,23
CC212,300
CC212,132
CC212,123
CC212,45
CC212,126700
CC212,500
CC212,180
CC212,81
CC212,34
CC212,1
CC212,1
CC212,44
CC21,2337
CC21,213
CC21,2091
CC21,21
CC21,1
CC21,11
CC21,2292
CC21,31
CC21,6
CC21,40
CC21,437
CC21,C
CC21,150
CC21,1607
CC21,22
CC21,405
CC21,439
CC21,78
CC21,1425
CC21,C
CC21,366
CC21,41
CC21,24
CC21,C
CC21,1425
CC21,466
CC21,593
CC21,366
CC21,242400
CC21,8100
CC21,C
CC21,C
CC21,29
CC21,17
CC21,5
CC21,33
CC311,4723
CC311,230
CC311,4432
CC311,12
CC311,1
CC311,49
CC311,4627
CC311,57
CC311,12
CC311,139
CC311,862
CC311,1
CC311,143
CC311,3374
CC311,40
CC311,549
CC311,545
CC311,92
CC311,4313
CC311,1506
CC311,1323
CC311,167
CC311,72
CC311,1483
CC311,4313
CC311,1950
CC311,1117
CC311,1245
CC311,289600
CC311,5600
CC311,135
CC311,86
CC311,38
CC311,5
CC311,2
CC311,45
CC31,4723
CC31,230
CC31,4432
CC31,12
CC31,1
CC31,49
CC31,4627
CC31,57
CC31,12
CC31,139
CC31,862
CC31,1
CC31,143
CC31,3374
CC31,40
CC31,549
CC31,545
CC31,92
CC31,4313
CC31,1506
CC31,1323
CC31,167
CC31,72
CC31,1483
CC31,4313
CC31,1950
CC31,1117
CC31,1245
CC31,289600
CC31,5600
CC31,135
CC31,86
CC31,38
CC31,5
CC31,2
CC31,45
CC321,3164
CC321,C
CC321,2796
CC321,3
CC321,0
CC321,C
CC321,3083
CC321,32
CC321,10
CC321,138
CC321,391
CC321,C
CC321,116
CC321,2278
CC321,118
CC321,422
CC321,422
CC321,82
CC321,2525
CC321,999
CC321,1023
CC321,118
CC321,97
CC321,503
CC321,2525
CC321,1494
CC321,574
CC321,457
CC321,607100
CC321,15700
CC321,174
CC321,101
CC321,C
CC321,5
CC321,3
CC321,59
CC32,3164
CC32,C
CC32,2796
CC32,3
CC32,0
CC32,C
CC32,3083
CC32,32
CC32,10
CC32,138
CC32,391
CC32,C
CC32,116
CC32,2278
CC32,118
CC32,422
CC32,422
CC32,82
CC32,2525
CC32,999
CC32,1023
CC32,118
CC32,97
CC32,503
CC32,2525
CC32,1494
CC32,574
CC32,457
CC32,607100
CC32,15700
CC32,174
CC32,101
CC32,C
CC32,5
CC32,3
CC32,59
CC411,1673
CC411,110
CC411,1553
CC411,2
CC411,0
CC411,7
CC411,1601
CC411,25
CC411,7
CC411,66
CC411,466
CC411,1
CC411,105
CC411,921
CC411,11
CC411,111
CC411,109
CC411,69
CC411,1147
CC411,490
CC411,429
CC411,66
CC411,30
CC411,228
CC411,1147
CC411,287
CC411,537
CC411,323
CC411,196800
CC411,8200
CC411,91
CC411,71
CC411,5
CC411,24
CC411,6
CC411,25
CC41,1673
CC41,110
CC41,1553
CC41,2
CC41,0
CC41,7
CC41,1601
CC41,25
CC41,7
CC41,66
CC41,466
CC41,1
CC41,105
CC41,921
CC41,11
CC41,111
CC41,109
CC41,69
CC41,1147
CC41,490
CC41,429
CC41,66
CC41,30
CC41,228
CC41,1147
CC41,287
CC41,537
CC41,323
CC41,196800
CC41,8200
CC41,91
CC41,71
CC41,5
CC41,24
CC41,6
CC41,25
CC511,12123
CC511,3634
CC511,8227
CC511,C
CC511,0
CC511,C
CC511,11686
CC511,C
CC511,1790
CC511,159
CC511,188
CC511,0
CC511,3141
CC511,6283
CC511,C
CC511,1502
CC511,1674
CC511,609
CC511,5932
CC511,3394
CC511,2036
CC511,364
CC511,19
CC511,502
CC511,5932
CC511,2618
CC511,1667
CC511,1646
CC511,9479400
CC511,476000
CC511,204
CC511,103
CC511,14
CC511,23
CC511,10
CC511,44
CC51,12123
CC51,3634
CC51,8227
CC51,C
CC51,0
CC51,C
CC51,11686
CC51,C
CC51,1790
CC51,159
CC51,188
CC51,0
CC51,3141
CC51,6283
CC51,C
CC51,1502
CC51,1674
CC51,609
CC51,5932
CC51,3394
CC51,2036
CC51,364
CC51,19
CC51,502
CC51,5932
CC51,2618
CC51,1667
CC51,1646
CC51,9479400
CC51,476000
CC51,204
CC51,103
CC51,14
CC51,23
CC51,10
CC51,44
CC521,1539
CC521,1514
CC521,C
CC521,C
CC521,2
CC521,1319
CC521,C
CC521,3
CC521,71
CC521,131
CC521,C
CC521,1089
CC521,C
CC521,116
CC521,117
CC521,221
CC521,1692
CC521,C
CC521,741
CC521,C
CC521,C
CC521,C
CC521,1692
CC521,1133
CC521,243
CC521,317
CC521,981400
CC521,140700
CC521,C
CC521,C
CC521,19
CC521,13
CC521,67
CC522,1982
CC522,1960
CC522,C
CC522,C
CC522,1
CC522,1860
CC522,C
CC522,7
CC522,61
CC522,140
CC522,C
CC522,1614
CC522,C
CC522,361
CC522,329
CC522,90
CC522,1471
CC522,C
CC522,469
CC522,C
CC522,C
CC522,C
CC522,1471
CC522,1000
CC522,387
CC522,84
CC522,1153300
CC522,52100
CC522,C
CC522,C
CC522,9
CC522,6
CC522,68
CC523,1519
CC523,398
CC523,1110
CC523,4
CC523,1
CC523,5
CC523,1425
CC523,20
CC523,7
CC523,36
CC523,245
CC523,C
CC523,279
CC523,827
CC523,10
CC523,258
CC523,256
CC523,92
CC523,1275
CC523,755
CC523,290
CC523,55
CC523,25
CC523,229
CC523,1275
CC523,586
CC523,372
CC523,317
CC523,377300
CC523,22900
CC523,203
CC523,134
CC523,30
CC523,16
CC523,7
CC523,46
CC52,5040
CC52,979
CC52,4004
CC52,45
CC52,4
CC52,8
CC52,4604
CC52,60
CC52,17
CC52,167
CC52,516
CC52,9
CC52,726
CC52,3083
CC52,35
CC52,735
CC52,702
CC52,402
CC52,4438
CC52,1988
CC52,1500
CC52,437
CC52,78
CC52,949
CC52,4438
CC52,2718
CC52,1002
CC52,717
CC52,689300
CC52,55000
CC52,198
CC52,128
CC52,26
CC52,15
CC52,9
CC52,61
CC531,3753
CC531,394
CC531,3296
CC531,16
CC531,0
